X1,X6,X7,X8,X9,X10,X11,X18,X19,Y
70000,1,2,2,2,2,0,0,3100,1
100000,0,0,0,0,0,0,2000,1606,0
310000,-2,-2,-2,-2,-2,-2,7875,7600,0
180000,1,2,0,0,0,0,1300,2010,0
150000,2,0,0,0,0,0,1600,1718,0
500000,-2,-2,-2,-2,-2,-2,3640,162,0
180000,0,0,0,-1,-1,-1,8500,1500,0
180000,0,0,0,0,0,0,8083,7296,0
200000,-1,3,2,2,2,2,0,0,0
400000,0,0,0,0,0,0,17000,15029,0
500000,0,0,0,0,0,0,1516,1300,1
70000,0,0,0,0,0,-1,4025,2095,0
50000,2,2,2,2,2,2,0,2700,1
50000,0,0,0,-2,-2,-2,1000,0,1
130000,-1,-1,-2,-2,-1,-1,0,0,0
200000,-2,-2,-2,-1,2,2,0,0,1
10000,2,2,2,0,0,0,2300,0,1
210000,2,-1,-1,-1,-1,-1,300,1159,0
130000,1,-2,-2,-1,2,-1,0,0,0
20000,2,0,0,0,0,0,0,1200,0
80000,-1,-1,-1,-1,-1,-1,0,390,0
320000,2,2,2,2,2,2,2500,2500,1
200000,-1,-1,-1,-1,2,-1,5818,15,0
290000,1,-2,-1,-1,-1,-1,0,3155,0
340000,-1,-1,-1,-1,-1,-1,5713,23453,0
20000,0,0,2,0,0,0,2850,0,0
50000,-1,0,0,0,0,0,1759,1779,0
300000,-1,-1,-1,-1,-1,-1,291,291,0
30000,0,0,0,0,0,0,1686,1400,1
240000,1,-2,-2,-2,-2,-2,0,0,1
470000,0,0,0,0,0,0,6400,7566,0
360000,0,0,0,0,0,-1,4796,3400,0
60000,0,0,0,0,0,0,1576,1213,1
400000,0,0,2,0,0,0,10700,3,0
50000,0,0,0,0,0,0,1676,1302,0
160000,0,0,0,0,0,0,4400,3547,0
360000,-1,-1,2,0,-1,-1,1170,0,1
160000,0,0,0,0,0,-1,1147,2000,0
130000,0,0,0,-1,-1,-1,40000,5000,0
20000,2,2,0,0,0,2,0,1651,0
200000,2,2,2,2,2,2,6300,5500,1
280000,-1,-1,-1,0,0,-2,0,3968,0
100000,-2,-2,-2,-2,-2,-2,7555,0,0
160000,-1,-1,-1,-1,-1,-2,1602,840,0
60000,0,0,0,0,0,0,1937,1301,0
90000,0,0,0,0,0,0,3621,3597,0
360000,-1,-1,-1,-1,-1,0,8339,3394,0
150000,0,0,0,0,0,0,4031,10006,0
50000,0,0,0,0,0,0,1411,1194,0
20000,0,0,0,0,0,-1,1699,1460,1
140000,-2,-2,-2,-2,-2,-2,10212,850,0
380000,-2,-2,-1,0,0,0,223,33178,0
480000,0,0,0,2,2,0,16078,55693,0
50000,0,0,0,0,0,0,1767,1362,1
60000,2,2,2,2,2,0,0,5000,0
70000,-1,-1,-2,-2,-2,-1,0,0,0
80000,-1,-1,-1,-1,-1,-1,2861,3279,0
350000,-1,-1,-1,-1,-1,-1,2272,722,0
130000,0,0,0,-1,-1,-1,10908,0,0
360000,1,-2,-2,-2,-2,-2,0,0,0
330000,0,0,2,0,0,0,9260,0,0
50000,0,0,2,0,0,0,2000,1000,0
280000,2,2,2,2,2,3,6500,0,0
100000,0,0,0,0,0,0,2000,2677,0
50000,0,0,0,0,0,0,1340,1305,0
30000,-1,2,0,0,3,2,0,1312,1
240000,-1,-1,-1,-1,-1,-1,326,326,0
80000,2,0,0,0,0,0,2000,1700,1
400000,-1,-1,-1,-1,-1,-1,9677,11867,0
240000,0,0,0,0,-1,-1,2000,3000,0
50000,2,2,2,3,2,2,1000,4035,1
450000,1,-2,-2,-2,-2,-2,0,0,1
110000,1,-2,-2,-2,-2,-2,0,0,0
310000,2,0,0,0,0,0,13019,11128,1
20000,0,0,0,0,0,0,1404,1130,0
20000,1,-2,-2,-2,-2,-2,0,0,0
200000,0,0,0,0,0,0,3568,3585,0
180000,0,0,0,0,0,0,4655,2690,1
50000,0,0,0,0,0,0,1000,1066,1
60000,3,2,2,0,0,0,2504,7,0
30000,1,-2,-2,-2,-1,-1,5645,3508,0
240000,1,-1,-1,0,0,-1,2622,3301,0
420000,0,0,0,0,0,0,9744,9553,0
330000,0,0,0,0,0,0,8210,8095,0
30000,0,0,0,0,0,0,2000,1400,0
240000,0,0,0,2,2,2,1500,1800,0
150000,0,0,0,0,0,0,2500,3000,0
210000,0,0,0,0,0,0,1500,1500,0
50000,-1,-1,-1,-1,-2,-2,300,5880,1
50000,0,0,0,0,0,0,2360,1700,0
240000,1,-2,-2,-2,-2,-2,0,0,1
180000,-1,-1,-1,-1,-1,-1,0,416,0
50000,1,2,2,2,0,0,1000,10000,0
170000,-2,-2,-2,-2,-2,-2,10000,10000,0
20000,-1,-1,-1,-1,0,-1,15586,344,0
50000,0,0,0,0,0,3,1000,1500,0
170000,0,0,0,0,0,0,1661,1200,1
200000,1,2,0,0,0,0,8000,5000,0
80000,1,2,3,2,0,0,1650,0,0
260000,1,-2,-1,-1,-1,-1,0,22500,0
140000,0,0,0,0,2,0,3455,3110,0
80000,0,0,0,0,0,0,30000,3000,0
350000,1,-1,-1,-1,-1,-2,2906,1000,0
280000,0,0,0,0,0,0,8042,6700,0
30000,0,0,0,0,0,0,1700,1500,0
140000,0,0,0,0,0,0,5000,5000,0
200000,0,0,0,0,0,0,4000,3250,0
200000,0,0,0,0,0,0,7300,7108,0
210000,2,3,4,4,5,6,10478,10478,1
50000,3,2,0,0,0,0,0,1600,0
30000,2,2,2,2,2,0,3500,0,0
50000,2,-1,-1,-1,-1,2,390,780,0
290000,-1,-1,-1,-1,0,-1,396,396,0
250000,0,0,2,0,0,0,17994,0,0
60000,0,0,0,0,0,0,3000,1500,0
110000,0,0,0,0,0,0,5500,3900,0
370000,-2,-2,-2,-2,-2,-2,15383,8204,0
100000,-1,2,2,0,0,0,3166,0,0
90000,0,0,0,0,0,2,3500,3500,0
50000,0,0,0,0,0,0,1510,1442,0
270000,0,0,0,0,0,0,5000,2000,0
300000,-1,-1,-1,-1,-1,-1,3288,0,0
50000,-1,0,0,0,0,0,15000,1000,0
50000,1,-2,-2,-2,-2,-2,0,0,1
360000,1,-2,-1,-1,-2,-2,0,77,0
130000,1,2,2,2,2,3,3000,3000,1
80000,-2,-1,0,0,0,0,504,500,0
50000,1,2,0,0,0,2,0,1500,0
20000,0,0,0,0,0,0,1212,1201,0
80000,0,0,2,0,0,0,5800,1000,0
240000,-1,-1,2,0,0,-1,15000,0,0
80000,0,-1,0,0,0,0,12500,6500,0
500000,0,0,0,0,0,0,70010,30357,0
60000,0,0,0,0,0,0,2500,1600,1
20000,0,0,0,0,0,-1,1200,1593,0
100000,1,2,0,0,2,0,0,1600,1
360000,1,-1,-1,-1,-1,-1,57087,5295,0
200000,2,2,2,2,2,2,8214,7000,1
130000,1,-1,0,0,0,0,5396,5000,0
20000,1,5,4,4,3,2,0,1000,0
310000,0,0,0,0,0,0,10020,6031,0
60000,2,0,0,0,2,0,1342,1664,1
180000,-1,-1,-1,-2,-1,0,199,0,0
180000,-1,-1,2,0,0,-2,37867,0,0
50000,0,0,0,0,-1,-1,2000,1000,0
50000,1,2,2,2,2,2,1900,1400,1
150000,-2,-2,-2,-2,-2,-2,0,0,0
20000,0,0,0,0,-1,0,1500,1032,0
500000,-2,-2,-2,-1,-1,-1,138,2299,0
30000,1,2,2,0,0,0,1000,85,1
180000,-2,-2,-2,-2,-2,-2,0,0,0
140000,0,0,2,0,0,2,25000,0,0
140000,-1,0,-1,-1,-1,-1,10000,13001,0
120000,0,0,0,0,0,0,5000,5000,0
360000,0,0,0,0,0,0,9100,7300,0
20000,-1,-1,0,0,0,0,22359,1305,0
100000,-1,-1,-1,-1,-1,-1,1473,390,0
210000,-1,-1,-1,-1,-1,-1,1586,343,1
80000,0,0,0,0,0,0,3200,3000,1
330000,-1,-1,-1,-1,-2,-2,4345,2854,0
220000,0,0,0,-1,-1,-1,5000,5050,0
210000,1,-2,-1,0,-1,-1,0,250,1
40000,0,0,0,0,0,0,1700,1504,0
30000,0,0,0,2,0,0,3036,2309,0
470000,2,2,2,2,0,0,13000,11001,0
30000,-1,-1,-1,-1,-1,2,390,390,0
240000,1,-2,-2,-2,-2,-2,0,0,1
80000,2,0,0,0,0,0,3100,3500,0
110000,0,0,0,0,0,0,4000,5000,0
310000,-1,-1,-1,-1,-2,-2,4542,126,0
360000,2,2,2,0,0,0,12000,0,1
330000,0,0,0,0,0,0,12388,12378,0
300000,0,0,0,0,0,0,12019,9006,0
320000,0,0,0,0,0,0,10042,18832,0
50000,1,3,2,0,0,0,0,24,1
170000,0,0,0,0,0,0,6530,4860,0
350000,-1,-1,-1,-1,-1,-2,2686,1864,0
20000,0,0,0,0,0,0,1609,3000,0
50000,2,0,0,0,0,0,2401,2254,1
20000,1,2,0,0,0,0,0,1333,0
50000,0,0,0,0,0,0,2090,2002,0
20000,1,2,0,0,2,0,0,1200,1
50000,0,0,-2,-1,-1,0,0,0,0
190000,2,0,0,0,2,2,5000,5000,1
60000,0,0,0,0,0,0,1506,1298,0
80000,-1,-1,-1,-1,-1,-1,3983,6853,0
150000,0,0,0,0,0,0,4500,1745,0
210000,-2,-2,-2,-2,-1,-1,0,7422,0
240000,0,0,0,0,0,0,10116,9150,1
140000,0,0,0,0,0,0,3000,2000,1
60000,1,2,2,-2,-2,-1,0,0,0
50000,0,0,0,0,0,0,1800,2000,0
50000,0,0,0,0,0,0,1800,1750,0
180000,-1,-1,2,2,-1,-1,2821,0,0
30000,-1,-1,2,2,2,2,355,120,0
20000,0,0,0,0,0,-2,1601,2203,0
250000,0,-1,-1,-1,-1,-1,1631,1536,0
100000,0,0,0,0,0,0,1788,1799,0
330000,0,0,0,0,2,0,2504,4007,0
50000,0,0,0,0,0,0,1561,1268,0
50000,1,2,2,0,0,0,1710,136,0
30000,0,0,0,0,0,0,5006,1244,0
140000,0,0,0,0,0,0,5366,5087,1
160000,0,0,0,0,-1,0,7042,2000,0
400000,-1,0,-1,-1,-1,-1,3127,1469,0
50000,0,0,0,0,0,0,1565,1393,0
140000,0,-1,-1,-1,-1,-1,1233,1075,0
160000,-1,-1,-1,-1,0,-1,2453,9880,0
100000,0,0,-2,-2,-2,-2,0,0,0
220000,2,0,0,0,0,0,10000,9020,1
510000,0,0,0,0,0,0,40010,20094,0
50000,0,0,0,0,0,0,1602,1400,0
160000,-1,-1,-1,-1,2,-1,4664,5969,0
230000,-2,-2,-2,-2,-2,-2,51315,0,0
80000,-1,-1,-1,-1,-1,-1,258,5995,0
150000,-1,-1,-2,-1,-1,-1,0,0,0
10000,0,0,0,0,0,2,1134,1298,0
130000,0,0,0,0,0,0,4100,3095,1
40000,0,0,0,0,0,0,1600,1600,0
50000,3,2,2,0,0,-1,1700,0,1
100000,0,0,0,0,0,0,2035,2004,0
120000,-1,2,-1,0,0,0,0,1350,0
260000,1,-2,-2,-2,-2,-2,0,0,1
200000,0,0,0,0,0,0,2000,1322,0
360000,-2,-2,-2,-2,-2,-2,0,0,1
70000,0,0,0,0,0,0,4483,12496,0
460000,2,-1,-1,-1,-1,-1,2728,0,1
50000,-1,-1,-1,-1,-1,-1,316,316,0
50000,0,0,0,0,0,0,2007,2199,0
250000,0,0,0,0,0,0,4000,4500,0
30000,0,0,-1,0,0,-2,1000,664,0
270000,0,0,0,0,-1,-1,10063,5162,0
180000,0,0,0,0,0,0,7722,6091,0
100000,0,0,0,0,0,0,4173,3000,0
230000,0,0,0,0,0,0,5000,5000,0
210000,-1,-1,-1,-1,-1,-1,41986,21874,0
210000,2,0,0,0,0,0,3276,2026,0
440000,0,0,0,0,0,0,8610,6907,0
100000,2,0,0,0,0,0,3472,2092,1
240000,0,0,0,0,0,0,1295,1000,0
280000,-1,-1,-1,-1,-1,-1,898,325,1
50000,1,-2,-2,-2,-2,-2,0,0,1
30000,3,2,2,2,2,2,1100,0,0
10000,0,0,2,0,0,0,3507,0,1
130000,1,-2,-2,-2,-2,-2,0,0,0
200000,0,0,0,0,0,0,9000,7465,0
120000,-1,-1,-1,-1,-1,-1,657,2319,0
210000,0,0,0,0,0,0,6483,5082,0
280000,0,0,0,0,0,0,2755,3463,0
300000,1,-2,-1,0,-1,-1,0,13001,1
100000,0,0,0,0,0,0,3490,2332,0
440000,-2,-2,-2,-2,-2,-2,0,0,0
50000,0,0,0,0,0,0,2400,1206,0
20000,0,0,2,0,0,0,2800,0,1
200000,-1,-1,-1,0,0,0,665,960,0
110000,-2,-2,-2,-2,-2,-2,3220,5904,0
500000,-1,-1,-1,-1,-1,-1,23962,0,0
300000,1,-1,-1,-2,-2,-2,5215,0,0
30000,2,2,2,3,3,4,1200,1200,1
60000,-1,-1,-1,-1,-1,-1,13809,14583,0
400000,-1,0,-1,-1,0,-1,1000,1354,0
180000,0,0,0,0,0,0,7000,5000,0
20000,0,0,0,2,0,0,3000,3100,0
200000,-1,2,2,2,0,0,0,6000,1
100000,0,0,0,0,0,0,1631,1286,0
60000,0,0,0,0,0,0,1970,2000,1
110000,0,0,0,0,0,0,2200,2500,0
260000,1,-1,-1,-2,-2,-1,165,526,0
50000,3,2,2,0,0,0,3754,1,0
180000,1,-2,-2,-2,-2,-2,0,0,0
110000,1,2,2,0,0,0,2500,0,1
340000,0,0,0,0,0,0,21105,5461,0
50000,-1,0,0,0,0,0,1070,1500,0
230000,0,0,0,-2,-1,-1,1710,1100,1
360000,0,0,0,0,0,0,10000,7000,0
210000,1,-2,-1,0,0,0,0,38013,0
220000,-1,2,2,-1,2,-1,325,0,1
60000,2,2,2,2,2,0,3800,0,1
340000,-2,-1,-1,-2,-2,-2,44665,8321,0
150000,2,2,2,2,2,2,5200,0,0
200000,1,-1,2,-1,-1,-1,1000,0,1
130000,0,0,2,0,0,0,3000,0,1
60000,1,2,0,0,0,0,0,1483,0
400000,1,-2,-2,-2,-1,-1,0,0,0
20000,0,0,0,0,0,0,1323,1600,0
190000,0,0,0,0,0,0,5795,7408,0
260000,0,0,0,0,0,0,10000,8000,0
140000,-2,-2,-2,-2,-2,-2,0,0,0
50000,0,0,0,0,0,0,1974,4406,1
120000,-1,-1,0,-1,-1,-1,6900,5037,0
240000,-2,-2,-2,-2,-2,-2,92,92,0
50000,0,0,0,0,-1,0,1212,1200,0
200000,-1,2,-1,-1,-1,2,0,4872,0
180000,0,0,-1,0,0,-1,11000,145000,0
180000,0,0,0,0,0,0,5440,5051,0
160000,-1,-1,-2,-1,0,0,0,0,0
100000,-1,-1,-1,0,0,0,4210,4159,0
50000,0,0,0,0,0,0,3000,2000,1
140000,0,0,0,0,0,0,6600,6500,0
30000,0,0,0,0,0,0,1411,1522,1
90000,0,0,-1,0,0,-1,1541,4200,0
200000,1,-2,-1,-1,-2,-1,10118,47015,0
380000,1,-2,-2,-2,-2,-2,0,0,1
80000,0,0,0,0,0,0,3177,2600,0
50000,2,2,2,0,0,2,3400,0,0
180000,-1,0,0,0,0,0,1481,2000,1
240000,0,0,0,0,0,0,6349,5834,0
380000,0,0,0,0,0,0,9010,35000,0
110000,0,0,0,0,0,0,3000,2900,0
260000,-1,-1,-1,-1,-1,-1,291,51058,0
500000,4,3,2,0,0,0,10000,0,1
320000,0,0,0,0,0,0,2589,2568,0
50000,4,3,2,0,0,0,0,0,0
110000,1,-2,-1,0,-1,-1,0,2066,1
230000,-2,-2,-2,-2,-2,-2,300,399,0
330000,1,-1,-1,-2,-1,-1,1529,1507,0
50000,0,0,0,0,0,0,3000,2237,0
10000,-1,2,2,2,0,0,0,1500,0
300000,1,-2,-2,-2,-2,-2,0,0,0
20000,3,2,0,0,0,0,0,1168,1
180000,2,2,-2,-2,-2,-2,0,0,1
160000,-1,-1,-1,-1,-1,-1,2977,15086,0
90000,0,0,0,2,2,2,1640,9000,0
30000,0,0,0,0,0,0,2500,2000,0
180000,0,0,0,0,0,0,8100,5299,0
30000,0,0,0,0,0,0,1640,1700,0
30000,1,2,0,0,0,2,0,1342,0
140000,-1,0,0,-1,-1,-1,14000,3855,0
210000,0,0,0,0,0,0,3500,3000,0
50000,0,0,0,0,0,0,2000,3000,1
130000,0,0,0,0,0,0,4200,2575,0
50000,2,2,2,0,0,0,1500,400,1
140000,0,0,0,0,0,0,3000,30000,0
170000,-1,0,0,2,0,0,1105,1903,1
80000,0,0,0,0,0,-2,10010,1209,0
410000,0,0,0,0,0,0,15000,14000,0
80000,1,-1,-1,-2,-2,-2,80000,0,0
80000,-1,0,0,2,2,2,3500,4330,1
150000,0,0,0,0,0,0,7900,6500,0
260000,-1,-1,-1,0,0,-1,291,582,1
350000,1,-2,-2,-2,-2,-2,0,0,0
280000,1,-1,0,0,0,0,38621,2000,1
310000,0,0,0,0,0,0,4400,4013,0
140000,0,0,0,0,0,0,3000,3000,0
360000,-1,-1,-1,-2,-2,-2,25000,0,0
140000,0,0,0,0,0,0,10000,10000,0
100000,0,0,0,0,0,0,2502,1200,0
50000,-2,-2,-2,-2,-2,-2,0,0,0
210000,0,0,0,0,0,0,4002,5000,0
120000,2,2,2,2,2,2,4007,0,0
240000,0,0,0,0,0,-1,5233,3289,0
60000,0,0,0,0,0,0,1488,1394,0
150000,-1,-1,-1,-1,-1,2,2091,384,1
30000,0,0,0,0,0,0,1774,1710,0
160000,2,2,2,2,2,2,7500,0,1
200000,-2,-2,-2,-2,-2,-2,2690,3487,0
120000,0,0,0,-2,-2,-2,6000,0,0
500000,1,2,0,0,0,0,325,15296,0
320000,0,0,0,0,0,0,11404,8232,0
280000,0,0,0,0,0,0,10000,8000,0
60000,1,2,2,2,2,2,0,2709,1
200000,-1,-1,-2,-1,-1,-2,0,0,0
230000,1,-2,-1,-1,-1,-1,0,2809,0
230000,1,2,0,0,0,0,0,1064,1
480000,-2,-2,-2,-2,-2,-2,26734,199982,0
50000,-1,-1,-1,-2,-2,-2,5000,0,0
200000,-2,-2,-2,-2,-2,-2,17507,1102,0
50000,0,0,0,0,0,2,2000,1600,0
50000,0,0,0,0,0,0,3629,3332,0
260000,1,-2,-2,-2,-2,-2,0,0,1
30000,2,0,0,0,0,2,1500,1800,0
440000,0,0,0,0,0,0,8071,9021,0
230000,-1,-1,-1,-1,-1,-1,2795,1350,0
200000,2,2,2,0,0,0,4500,0,1
490000,0,0,0,0,0,0,10000,7143,0
80000,-1,-1,-2,-2,-2,-2,0,0,0
20000,2,2,2,2,0,0,3000,1500,1
170000,-1,-1,-1,-1,0,-1,199,199,1
70000,0,0,0,0,0,0,3600,1646,0
210000,0,0,0,0,0,0,6000,4500,0
90000,0,0,0,0,0,0,3200,3300,0
390000,0,0,0,0,0,0,13007,10612,1
110000,0,0,0,0,0,0,2500,2500,0
580000,0,0,0,0,0,0,6422,6565,0
360000,0,0,-1,-1,-1,-2,6015,17454,0
270000,1,2,2,2,2,2,10000,8000,1
60000,-1,-1,-2,-1,2,-1,0,0,0
110000,0,0,0,0,0,0,2300,2200,0
50000,0,0,0,0,0,0,2500,3008,0
80000,0,0,0,0,0,0,3212,1600,1
50000,-1,-1,-1,-1,0,0,350,400,0
100000,0,0,0,0,2,2,4000,4037,0
30000,1,-2,-1,-1,-1,-1,0,945,0
200000,0,0,0,0,0,0,5704,5930,0
240000,0,0,0,0,0,0,12026,9010,1
220000,0,0,0,0,0,0,1600,1500,0
160000,0,0,0,0,0,0,4500,4400,0
180000,-1,-1,-1,0,0,-1,1260,29366,0
200000,0,0,0,0,0,0,5000,1485,0
140000,0,0,0,2,0,0,4505,12906,0
380000,1,-2,-2,-2,-2,-2,0,0,1
600000,2,2,0,0,0,0,0,18000,1
260000,0,0,0,-1,0,0,14000,5022,0
200000,0,0,-2,-2,-2,-2,179,1443,0
80000,0,0,0,0,0,0,2500,51432,0
40000,0,0,0,0,0,-1,2027,1207,0
130000,1,2,2,2,2,2,0,6000,0
50000,-1,0,0,0,0,-2,1800,1900,0
230000,-1,-1,-1,-1,-1,-1,18163,5654,0
70000,0,0,0,0,0,-1,2100,1217,1
180000,0,0,0,0,0,0,5657,10372,0
80000,-1,-1,-1,-1,-1,-1,8638,5723,0
290000,0,0,0,-1,-1,0,80000,3000,0
230000,0,0,0,0,0,0,120093,8034,0
170000,1,-2,-1,-1,-2,-1,0,1991,0
230000,-1,0,0,0,0,0,7536,7277,1
220000,0,0,0,0,0,0,8909,7500,1
230000,0,0,0,0,0,0,1610,1224,0
500000,0,0,0,-1,0,0,10026,7241,0
90000,-1,-1,-1,-1,-1,-1,3276,6246,0
390000,0,0,0,0,0,0,13802,16525,1
400000,0,0,0,0,0,0,14020,13595,0
180000,-1,-1,-1,-1,-1,-1,2790,1140,0
60000,1,2,2,0,0,2,1800,1500,0
120000,-1,-1,-1,-1,-1,-1,2682,0,0
60000,0,0,0,0,0,0,1900,1400,0
50000,0,0,0,0,0,0,1800,1500,0
70000,0,0,0,2,0,0,2518,5950,0
500000,-1,2,-1,-1,-1,0,0,501,0
200000,-2,-2,-2,-2,-2,-2,0,0,0
250000,0,0,0,0,-1,2,120041,4435,0
140000,0,0,2,2,2,2,17000,0,1
70000,0,0,0,0,-1,2,2112,1200,0
90000,1,2,2,2,2,2,1700,4000,0
100000,-1,-1,-1,-1,-1,-1,1709,574,0
190000,0,0,0,0,0,0,7600,6303,0
230000,-1,-1,-1,-1,-1,-1,15111,13165,0
320000,0,0,0,0,0,0,3317,3506,0
220000,-1,-1,-1,0,-1,-1,1648,792,1
260000,-1,-1,-1,-1,-1,-1,6277,4663,0
90000,-2,-2,-2,-2,-2,-2,157,0,0
30000,2,2,2,2,2,0,1300,2,0
260000,0,0,0,2,0,0,4000,11900,0
170000,0,0,-1,-1,-2,-2,4000,308,0
80000,0,0,0,0,0,0,1203,1047,1
50000,-1,-1,-1,-1,-1,-1,1000,390,0
200000,0,0,0,0,0,0,7521,7000,0
20000,0,0,2,0,0,0,7403,0,0
250000,-1,-1,-2,-1,-1,-1,0,0,0
20000,0,0,0,2,2,0,1623,3916,0
30000,0,0,0,0,2,2,2000,1500,0
90000,1,2,2,2,2,2,0,6000,0
230000,0,0,0,0,0,0,10000,9000,0
130000,0,0,0,0,0,0,2000,3000,1
30000,-2,-2,-2,-2,-2,-2,0,0,0
160000,-1,-1,-1,-1,-1,-1,396,396,0
500000,-1,-1,-1,0,0,-1,0,285138,0
180000,0,0,0,0,0,2,2500,2000,0
80000,0,0,0,0,0,2,1700,1400,0
120000,-1,-1,-2,-1,-1,-2,0,0,0
130000,-1,-1,-1,-1,-1,2,1261,1261,0
120000,-1,-1,-1,-1,-1,-1,240,240,1
360000,-1,-1,-1,-1,-1,-1,53228,3997,0
50000,2,2,2,2,2,2,2000,1500,1
20000,0,0,2,0,0,0,2900,10,0
100000,0,0,-1,0,0,0,2385,88678,0
70000,0,0,0,0,0,0,3060,3300,0
50000,0,0,0,0,0,0,3000,5000,0
10000,1,2,0,0,0,0,0,2126,0
290000,0,0,0,0,0,0,6000,7000,0
30000,0,0,0,0,0,0,1597,1606,0
410000,1,-1,0,0,0,0,33049,16000,0
360000,-1,-1,-1,0,0,-1,390,75720,1
140000,0,0,0,0,0,0,6022,3021,1
210000,0,0,0,0,0,0,3200,3200,0
220000,-1,-1,-1,-1,-1,-1,13250,433,0
20000,1,2,0,0,0,2,0,1594,0
620000,2,2,0,0,0,0,0,6200,1
360000,1,-2,-2,-2,-1,-1,0,0,0
20000,-1,-1,2,2,-1,-1,14410,0,0
50000,0,0,0,0,0,0,2836,1200,0
50000,0,0,0,0,0,0,2454,1588,0
10000,0,0,2,2,2,0,2400,0,1
100000,2,0,0,3,3,2,2050,7500,1
50000,-2,-2,-2,-2,-2,-2,3068,2440,0
60000,-1,-1,0,-1,-1,0,1675,2500,0
440000,0,0,0,0,0,0,13100,11000,0
120000,0,0,0,0,0,0,5417,2847,0
50000,0,0,0,-2,-1,-1,1000,0,0
110000,1,2,2,2,2,2,600,7300,0
200000,-1,-1,-2,-2,-1,-1,0,0,0
150000,1,-2,-2,-2,-2,-1,0,0,0
30000,2,3,2,2,0,0,0,1000,1
100000,0,0,0,0,-1,-1,1553,5000,0
360000,-1,0,0,-1,0,-1,10000,13912,0
390000,0,0,0,0,0,0,5000,3000,0
220000,1,-2,-2,-2,-2,-2,0,0,1
160000,-2,-2,-2,-2,-2,-2,0,0,0
230000,-1,-1,0,0,0,0,7357,2566,0
120000,0,0,0,0,0,0,5024,5000,0
100000,0,0,2,2,2,0,1500,1000,1
190000,-1,-1,-1,-1,-1,-1,0,16500,1
50000,0,0,0,0,0,0,2500,1500,1
240000,1,-1,-1,-2,-2,-2,6370,0,0
40000,-2,-2,-2,-2,-2,-2,2000,1600,0
630000,0,0,0,-1,-1,-2,38187,1207,0
160000,-2,-2,-2,-2,-2,-2,5401,1829,0
110000,0,0,2,2,2,2,11000,5800,0
20000,0,0,0,-2,-2,-2,2055,0,0
210000,0,0,0,0,0,0,2800,2753,0
270000,-1,-1,0,-1,-1,-1,12006,5736,0
360000,-2,-2,-2,-2,-2,-2,2231,0,0
60000,-1,-1,-1,-1,-1,-1,2790,1758,0
360000,-1,0,0,0,0,0,8005,8004,0
390000,2,2,2,-1,2,2,1,1693,0
250000,-2,-2,-2,-2,-2,-2,8514,1751,0
90000,0,0,0,0,0,0,1600,1500,1
360000,-1,-1,-1,-1,-1,-1,1510,3575,0
50000,0,0,0,0,0,0,1537,1947,0
